,category_code_description,market_value,parcel_number,sale_date,sale_price,total_area,taxable_building,taxable_land,zip_code,zoning,lat,lng,tax_assessment,sales_ratio
183481,Single Family,87200.0,292303000,2018-10-08,249900.0,665.52,61040.0,26160.0,191213504,RSA5 ,39.978539730936,-75.1846862067353,87200.0,0.34893957583033214
183485,Single Family,11700.0,282178500,2018-11-03,10000.0,708.5,8647.0,3053.0,191322922,RSA5 ,39.9950100801168,-75.1835200266177,11700.0,1.17
183501,Single Family,81700.0,292275101,2018-04-06,125000.0,759.5,57190.0,24510.0,191214517,RSA5 ,39.977339209317705,-75.1841139485765,81700.0,0.6536
183506,Single Family,380000.0,292275900,2018-06-20,361400.0,756.0,0.0,108300.0,191213615,RSA5 ,39.9779946627062,-75.18396329915029,108300.0,0.2996679579413392
183509,Single Family,380500.0,292276200,2018-06-29,360000.0,756.0,0.0,108442.0,191213615,RSA5 ,39.9781095007687,-75.18394008362,108442.0,0.30122777777777776
183517,Single Family,892400.0,303005100,2019-01-02,975000.0,1260.48,624680.0,267720.0,191461411,RM1  ,39.9455588928126,-75.1739618800648,892400.0,0.9152820512820513
183529,Single Family,18100.0,282273100,2019-03-27,10245.0,1600.0,14635.0,3465.0,191322833,RM1  ,39.9958455868412,-75.1871842949233,18100.0,1.7667154709614445
183584,Single Family,98200.0,292237000,2018-08-08,250800.0,992.0,28740.0,29460.0,191213602,RSA5 ,39.978267785294,-75.18289998694091,58200.0,0.23205741626794257
183602,Single Family,487200.0,311125200,2018-07-11,510000.0,960.0,0.0,87696.0,191252020,RSA5 ,39.9821792716881,-75.1294863908265,87696.0,0.1719529411764706
183603,Single Family,487200.0,311125300,2018-05-10,510000.0,960.0,399504.0,87696.0,191252020,RSA5 ,39.982203590844,-75.12943992776191,487200.0,0.9552941176470588
183634,Single Family,359900.0,301026300,2019-02-07,850000.0,750.0,252018.0,107882.0,191461312,RSA5 ,39.9446758098263,-75.17666347378909,359900.0,0.4234117647058824
183639,Single Family,653600.0,301156400,2019-01-22,535000.0,630.0,0.0,177583.0,191462029,RM1  ,39.940800649760206,-75.16997851991259,177583.0,0.33193084112149535
183655,Single Family,25500.0,282325800,2018-11-28,25000.0,616.0,21063.0,4437.0,191323435,RSA5 ,39.992125002104395,-75.180573221755,25500.0,1.02
183680,Single Family,72000.0,292138500,2018-07-27,259900.0,707.0,10400.0,21600.0,191214523,RSA5 ,39.9757794885744,-75.18274638119009,32000.0,0.12312427856868026
183683,Single Family,424100.0,292179400,2018-07-02,485000.0,784.0,0.0,120817.0,191300000,RSA5 ,39.9745277376374,-75.1862890155684,120817.0,0.24910721649484535
183685,Single Family,71700.0,292179610,2018-03-26,155000.0,784.0,0.0,0.0,191300000,RSA5 ,39.9745392575139,-75.1863866764908,0.0,0.0
183725,Single Family,141800.0,292051100,2018-11-07,225000.0,1232.05,99291.0,42509.0,191212805,RSA5 ,39.9798578947624,-75.1795258530761,141800.0,0.6302222222222222
183748,Single Family,1220000.0,303045520,2018-12-10,1149000.0,1995.0,835100.0,347700.0,191461035,RM1  ,39.9459913971107,-75.18123457131479,1182800.0,1.0294168842471714
183837,Single Family,27100.0,282233800,2019-01-14,14200.0,596.54,22385.0,4715.0,191320000,RSA5 ,39.9975129627859,-75.1846326431684,27100.0,1.908450704225352
183845,Single Family,45800.0,282278300,2018-12-26,20000.0,1184.0,37831.0,7969.0,191211122,RSA5 ,39.9898805906175,-75.182679779068,45800.0,2.29
183858,Single Family,554300.0,301071800,2018-07-10,520000.0,810.0,199589.0,166290.0,191461825,RSA5 ,39.943525344411995,-75.1747425450797,365879.0,0.7036134615384615
183867,Single Family,57200.0,311082700,2018-09-28,225000.0,882.0,30431.0,26769.0,191251327,RSA5 ,39.9857818300172,-75.1271015268065,57200.0,0.25422222222222224
183870,Single Family,146400.0,311083000,2018-09-04,257900.0,900.62,72142.0,34258.0,191251327,RSA5 ,39.9858468377779,-75.1269775165206,106400.0,0.41256300891818537
183907,Single Family,29400.0,291314300,2018-02-27,55000.0,1055.85,11760.0,17640.0,191213802,RM1  ,39.97747490324429,-75.17503760595909,29400.0,0.5345454545454545
183924,Single Family,649900.0,302185270,2018-11-29,845000.0,1347.4,424029.0,185871.0,191462520,CMX2 ,39.9416469091239,-75.1808774681732,609900.0,0.7217751479289941
183942,Single Family,28800.0,282016500,2018-04-27,10000.0,790.5,23788.0,5012.0,191323013,RSA5 ,39.9927860059321,-75.17997219642771,28800.0,2.88
183974,Single Family,26200.0,282098300,2018-01-22,28000.0,707.5,21641.0,4559.0,191323008,RSA5 ,39.9943965715568,-75.1815362649312,26200.0,0.9357142857142857
184007,Single Family,265200.0,302244300,2018-10-15,340000.0,700.0,194454.0,70746.0,191462523,RSA5 ,39.9405194979317,-75.180623466115,265200.0,0.78
184031,Single Family,750000.0,292281600,2018-07-20,750000.0,1372.0,0.0,213750.0,191301100,RSA5 ,39.9737021416652,-75.1850500648697,213750.0,0.285
184045,Single Family,545300.0,303052610,2018-08-11,455000.0,496.0,349890.0,155410.0,191461526,RSA5 ,39.9446983023968,-75.170790377288,505300.0,1.1105494505494506
184079,Single Family,288000.0,301073200,2019-01-29,389900.0,800.0,161610.0,86390.0,191461318,RSA5 ,39.9436429284032,-75.17577281953871,248000.0,0.6360605283406001
184085,Single Family,51600.0,292192500,2018-01-30,206000.0,700.0,34572.0,17028.0,191214508,RSA5 ,39.9752337935954,-75.18398777385879,51600.0,0.2504854368932039
184116,Single Family,32000.0,282135600,2018-08-05,55000.0,1050.0,26529.0,5471.0,191323343,RSA5 ,39.9920479682956,-75.18318895911891,32000.0,0.5818181818181818
184131,Single Family,354700.0,291372900,2019-02-08,370000.0,750.0,147940.0,101089.0,191214627,RSA5 ,39.9766276259111,-75.17936229226841,249029.0,0.6730513513513513
184177,Single Family,75700.0,292141400,2018-05-03,170000.0,700.0,52990.0,22710.0,191214525,RSA5 ,39.9770174449913,-75.1824800581773,75700.0,0.44529411764705884
184178,Single Family,75700.0,292141500,2019-01-31,135000.0,700.0,52990.0,22710.0,191214525,RSA5 ,39.9770547513437,-75.18247200516271,75700.0,0.5607407407407408
184190,Single Family,337300.0,302189300,2018-01-09,470000.0,897.94,240832.0,96468.0,191462406,RM1  ,39.942056281304204,-75.1840320031235,337300.0,0.7176595744680851
184191,Single Family,325300.0,302189400,2018-10-06,275000.0,864.0,238445.0,86855.0,191462406,RM1  ,39.9420678947831,-75.1840890890445,325300.0,1.182909090909091
184223,Single Family,297400.0,292001300,2018-11-09,458900.0,666.34,168221.0,89179.0,191301220,RSA5 ,39.973062763931395,-75.1813691013378,257400.0,0.5609065155807366
184268,Single Family,71400.0,292146400,2018-03-13,105000.0,763.8,10000.0,21400.0,191213625,RSA5 ,39.9794408286066,-75.1819451223456,31400.0,0.29904761904761906
184284,Single Family,49200.0,282280500,2019-01-25,100000.0,1388.3,640.0,8560.0,191211124,RM1  ,39.9902418610059,-75.18547054084691,9200.0,0.092
184296,Single Family,404300.0,292123700,2018-09-28,395000.0,700.0,0.0,115225.0,191213628,RSA5 ,39.9786238026631,-75.18164353516391,115225.0,0.29170886075949365
184298,Single Family,77800.0,292192900,2018-03-01,12500.0,700.0,42800.0,35000.0,191214508,RSA5 ,39.975264748936,-75.18423729636379,77800.0,6.224
184316,Single Family,247600.0,311131600,2018-08-10,269500.0,1133.16,201967.0,45633.0,191251932,RSA5 ,39.980515043371206,-75.13190946347609,247600.0,0.9187384044526902
184336,Single Family,59900.0,292218200,2018-12-27,115000.0,831.65,19830.0,17970.0,191213510,RSA5 ,39.9800665201101,-75.1849041125933,37800.0,0.32869565217391306
184340,Single Family,21400.0,281407000,2018-05-14,11000.0,716.5,18190.0,3210.0,191323213,RSA5 ,39.99724018069829,-75.1727528957274,21400.0,1.9454545454545455
184411,Single Family,520500.0,302191000,2018-02-01,575000.0,990.71,388475.0,132025.0,191462314,RM1  ,39.942243827637895,-75.18554844410541,520500.0,0.9052173913043479
184415,Single Family,519300.0,302241810,2018-08-01,550000.0,540.0,0.0,131720.0,191462521,RSA5 ,39.940352227017605,-75.1791191038726,131720.0,0.2394909090909091
184484,Single Family,73800.0,292147000,2018-06-27,135000.0,761.79,51681.0,22119.0,191213625,RSA5 ,39.979687936670004,-75.1818893433013,73800.0,0.5466666666666666
184517,Single Family,72400.0,292125000,2018-09-28,125000.0,763.8,50700.0,21700.0,191213630,RSA5 ,39.9794159116738,-75.1814656830782,72400.0,0.5792
184528,Single Family,87300.0,292242800,2018-10-26,295000.0,700.0,61110.0,26190.0,191214510,RSA5 ,39.97586958461729,-75.1836628938883,87300.0,0.2959322033898305
184602,Single Family,500900.0,302127700,2018-06-20,540000.0,1120.0,364805.0,136095.0,191461209,RM1  ,39.941799488221605,-75.1789291752196,500900.0,0.9275925925925926
184611,Single Family,40300.0,291220600,2018-05-24,325000.0,1174.41,16200.0,24100.0,191212842,RSA5 ,39.979551864521,-75.1772132275119,40300.0,0.124
184612,Single Family,39100.0,291220700,2018-05-24,325000.0,1174.41,15700.0,23400.0,191212842,RSA5 ,39.97955796818479,-75.1772615460775,39100.0,0.12030769230769231
184631,Single Family,34900.0,291380500,2018-09-17,200000.0,1575.0,13960.0,20940.0,191213705,RSA5 ,39.9792412410777,-75.1790818750068,34900.0,0.1745
184633,Single Family,331600.0,302243300,2018-07-06,400000.0,749.0,207500.0,84100.0,191462523,RSA5 ,39.940469883729996,-75.18017987259259,291600.0,0.729
184645,Single Family,708600.0,302041100,2018-03-29,355000.0,686.0,0.0,201951.0,191461141,RSA5 ,39.943968198130996,-75.1801646264755,201951.0,0.5688760563380282
184651,Single Family,311100.0,291346600,2018-02-01,271500.0,704.0,177801.0,93299.0,191301304,RSA5 ,39.973427357987205,-75.1785355849791,271100.0,0.9985267034990792
184666,Single Family,432200.0,292058400,2018-12-06,435000.0,696.0,0.0,123177.0,19121    ,RSA5 ,39.9766010139189,-75.1800434755828,123177.0,0.2831655172413793
184671,Single Family,88000.0,292105000,2018-08-10,105000.0,988.8,21631.0,26369.0,191213619,RSA5 ,39.97889347463521,-75.1810734690833,48000.0,0.45714285714285713
184696,Single Family,68900.0,292077100,2019-03-07,10000.0,669.0,8230.0,20670.0,191213715,RSA5 ,39.9794207195736,-75.1798461073789,28900.0,2.89
184697,Single Family,68900.0,292077200,2018-07-03,100000.0,669.0,8230.0,20670.0,191213715,RSA5 ,39.9794535597601,-75.17983951580521,28900.0,0.289
184709,Single Family,29300.0,292190900,2018-03-28,270000.0,742.0,11720.0,17580.0,191214509,RSA5 ,39.975066569686604,-75.18448443695479,29300.0,0.10851851851851851
184721,Single Family,288300.0,302249200,2018-10-30,338500.0,732.45,171324.0,76976.0,191463910,RSA5 ,39.941072778231295,-75.1852117592525,248300.0,0.7335302806499261
184724,Single Family,295000.0,302249500,2018-06-12,380000.0,732.45,180173.0,74827.0,191463910,RSA5 ,39.9410926548023,-75.1853685560311,255000.0,0.6710526315789473
184761,Single Family,353400.0,303059825,2018-06-25,339200.0,369.75,247380.0,106020.0,191461525,CMX2 ,39.944359648654206,-75.169156168426,353400.0,1.0418632075471699
184768,Single Family,33400.0,311023800,2018-12-01,48500.0,786.0,22378.0,11022.0,191251021,RSA5 ,39.98884469602589,-75.12982072862481,33400.0,0.688659793814433
184771,Single Family,33400.0,311024600,2018-11-21,134500.0,810.0,22378.0,11022.0,191251022,RSA5 ,39.9879860658278,-75.1303856378104,33400.0,0.2483271375464684
184783,Single Family,83500.0,292263300,2019-02-15,60000.0,700.0,58450.0,25050.0,191214514,RSA5 ,39.976004338218004,-75.18412228815251,83500.0,1.3916666666666666
184825,Single Family,480700.0,302129700,2018-12-11,727000.0,955.2,255938.0,130606.0,191461718,RSA5 ,39.941916401642,-75.180157858383,386544.0,0.531697386519945
184849,Single Family,24500.0,291381400,2019-02-27,130000.0,770.0,9800.0,14700.0,191213705,RSA5 ,39.9797269924556,-75.17902814580879,24500.0,0.18846153846153846
184856,Single Family,693900.0,302041200,2018-09-24,742500.0,686.0,146745.0,197761.0,191461141,RSA5 ,39.9439744693861,-75.18021345795,344506.0,0.46398114478114477
184885,Single Family,88000.0,292105400,2019-01-24,40000.0,992.0,61631.0,26369.0,191213619,RSA5 ,39.979064872940505,-75.1810345864783,88000.0,2.2
184904,Single Family,292000.0,302194800,2018-11-20,350000.0,700.0,168488.0,83512.0,191462527,RSA5 ,39.9412249881064,-75.17896251643359,252000.0,0.72
184913,Single Family,58500.0,292077800,2018-10-08,59287.0,2799.0,0.0,18500.0,191213715,RSA5 ,39.979707827929,-75.1797481205891,18500.0,0.3120414256076374
184922,Single Family,73100.0,292122900,2018-06-29,115500.0,700.0,51170.0,21930.0,191213628,RSA5 ,39.9783162871309,-75.18170880469421,73100.0,0.6329004329004329
184972,Single Family,75000.0,292062900,2018-12-10,185000.0,960.0,52500.0,22500.0,191213706,RSA5 ,39.9791525665823,-75.1795843165606,75000.0,0.40540540540540543
185003,Single Family,70500.0,292082700,2018-06-26,1863147.0,704.0,49350.0,21150.0,191213714,RSA5 ,39.9783995574195,-75.1805124295297,70500.0,0.03783920431399133
185004,Single Family,70500.0,292082800,2019-03-19,279900.0,704.0,49350.0,21150.0,191213714,RSA5 ,39.9784373379038,-75.18050447093309,70500.0,0.25187566988210075
185102,Single Family,73600.0,291104200,2018-12-06,115000.0,960.0,51582.0,22018.0,191210000,RM1  ,39.9766081161097,-75.1764587594369,73600.0,0.64
185112,Single Family,88800.0,291252800,2018-04-20,11057.0,858.48,62160.0,26640.0,191212911,RM1  ,39.9803511915731,-75.17383166964709,88800.0,8.031111513068645
185183,Single Family,287400.0,291355300,2018-10-08,85000.0,1344.0,201242.0,86158.0,191301302,RSA5 ,39.9735903357882,-75.1791988984282,287400.0,3.3811764705882354
185192,Single Family,31200.0,292109900,2018-03-30,290000.0,750.0,12480.0,18720.0,191214528,RSA5 ,39.9764964306417,-75.18181914507771,31200.0,0.10758620689655173
185194,Single Family,413800.0,292110100,2018-04-25,405000.0,750.0,0.0,117933.0,191214528,RSA5 ,39.9765776199538,-75.181802203022,117933.0,0.2911925925925926
185195,Single Family,400000.0,292110200,2018-04-18,400000.0,750.0,0.0,114000.0,19121    ,RSA5 ,39.9766186678926,-75.1817934132693,114000.0,0.285
185205,Single Family,33800.0,311026300,2018-04-03,62000.0,810.0,0.0,0.0,191251022,RSA5 ,39.9885191637063,-75.1302731242387,0.0,0.0
185226,Single Family,317900.0,292084600,2018-11-29,200000.0,648.0,189416.0,90601.0,191213716,RSA5 ,39.979478588172796,-75.18016658261429,280017.0,1.400085
185242,Single Family,72700.0,291159000,2018-01-09,50000.0,686.0,50890.0,21810.0,191213810,RM1  ,39.9774262792505,-75.17531252391571,72700.0,1.454
185251,Single Family,77500.0,291038900,2018-09-06,100000.0,1278.0,51925.0,25575.0,191214831,RM1  ,39.9751720822061,-75.17556708359459,77500.0,0.775
185252,Single Family,73600.0,291039010,2019-01-31,150000.0,1072.0,51520.0,22080.0,191214831,RM1  ,39.9751792683323,-75.1756251028335,73600.0,0.49066666666666664
